,INTERPRET
"187 Strassenbande feat. Bonez MC, Gzuz",10
Sofaplanet,10
Pulcino Pio,10
Kontra K feat. RAF Camora,10
The Cratez & Bonez MC,10
Ayliva,10
Udo Lindenberg feat. Inga Humpe,10
Loredana feat. Mero,10
Brings,10
Donna Summer,10
Broilers,10
Schäfer Heinrich,10
Prinz Pi feat. Philipp Dittberner,10
Tim Bendzko feat. Cassandra Steen,10
Badmómzjay,10
Vice feat. Jasmine Thompson & Skizzy Mars,10
Catterfeld,10
Heinz Rudolf Kunze,11
Emilio,11
Capital Bra x Cro,11
Yasha,11
Olexesh,11
Azad feat. Cassandra Steen,11
Sabrina Setlur intr. Xavier Naidoo,11
Rooz x MoTrip,11
Bushido feat. Samra & Capital Bra,11
Josh.,11
Miksu / MacLoud & Makko,11
Kianush & PA Sports,11
De Bläck Fööss,11
Lil Kleine & Ronnie Flex,11
Drafi Deutscher,11
Chaka Khan,11
Endzone / TM,11
"187 Strassenbande / Bonez, Frauenarzt",11
Kool Savas feat. Nessi,11
Bausa x Juju,11
Kontra K feat. Sido & Leony,11
Liza Li,11
Heike Schäfer,11
Seeed feat. Black Kappa,11
Beatrice Egli,11
DJ Taylor & Flow,11
Zuna feat. Azet & Noizy,12
Ne-Yo,12
"Nena, Olli & Remmler",12
Big Brother Allstars,12
Eko Fresh feat. Bushido,12
Antonia feat. Sandra,12
Werner,12
Schwester S.,12
Electric Light Orchestra,12
Veysel feat. Gzuz,12
Mickie Krause,12
Kami & Purple Schulz,12
Schnappi und das Lama,12
Thomas Godoj,12
Rin,12
Fehlfarben,12
Capital Bra feat. Summer Cem & KC Rebell,12
Summer Cem,12
Paso Doble,12
Sky,12
Raptile feat. Xzibit,12
Oli.P,12
Jürgen Marcus,12
10cc,12
Cretu,12
KC Rebell feat. Summer Cem & Capital Bra,13
Liaze,13
Céline [DE],13
Miksu / Macloud / Jamule / Nimo,13
Culture Beat feat. Jo van Nelsen,13
1986zig,13
Juju x Loredana,13
Summer Cem feat. Capital Bra,13
Fourty,13
Dardan & Monet192,13
Fettes Brot mit Modeselektor,13
Dolls United feat. Die Blechbüchsenarmee,13
Sido feat. Mark Forster,13
Luna [DE],13
Bürger Lars Dietr!ch,13
Lady Gaga,13
Aleksey,13
Marlon + Freunde,13
Karel Gott und Darinka,13
Hannes Schöner,13
Pinocchio,13
Deichkind feat. Nina,13
Kim Merz,13
Bruce & Bongo,13
Walter,13
Bushido feat. Karel Gott,13
Brothers Keepers,13
Trettmann feat. Gzuz,13
Seeed feat. Cee-Lo Green,13
Laing,13
Y-Titty,13
Norbert und die Feiglinge,13
Sandmann's Dummies feat. Pitty Platsch & Schnatte Rienchen,13
Kay One,13
Zlatko,13
Sido feat. Adel Tawil,13
Olaf Henning,14
DJ Tomekk feat. Fler intr. G-Hot,14
Max Herre feat. Philipp Poisel,14
Nic,14
Sara @ Tic Tac Two,14
Chakuza feat. Bushido,14
Kayef,14
Cassandra Steen,14
Zlatko & Jürgen,14
Azet feat. RAF Camora,14
Maya Saban + Cosmo Klein,14
Adel Tawil feat. Matisyahu,14
Maxim [DE],14
Steinwolke,14
Philippe,14
Thomas D / Nina Hagen,14
Volker Lechtenbrink,14
Guildo Horn & die Orthopädischen Strümpfe,14
Stefan Waggershausen & Alice,14
Ixi,14
AK Ausserkontrolle,14
Michael Schanze und die Fußball-Nationalmannschaft WM '82,14
Roger Cicero,15
Laura,15
Milva,15
Farid Bang,15
"01099 - Gustav, Zachi",15
Samra x Topic42,15
Darude,15
Münchener Freiheit mit dem London Symphony Orchestra,15
Helge Schneider & Hardcore,15
Mark Forster x Vize,15
Capital Bra feat. Xatar x SAMY,15
Hannes Kröger,15
Die Atzen mit Nena,15
Bosse,15
Mario Jordan,15
Juju [DE],15
Sebastian Hämer,16
Azad feat. Adel Tawil,16
Eko Fresh feat. G-Style,16
Curse mit Silbermond,16
Lukas Hilbert,16
Jan Delay a. k. a. Eissfeldt feat. Dennis Dubplate / Absolute Beginner,16
KitschKrieg feat. Jamule,16
Leinemann,16
Philipp Dittberner,16
KC Rebell feat. Moé,16
Loredana feat. Mozzik,16
T»MA a.k.a. Falco,16
Farin Urlaub,16
Rolf und seine Freunde,16
Kris feat. Dante Thomas,16
Sha,16
LEA x Cyril,16
Die Doraus & die Marinas,16
ART,16
Killerpilze,16
Tauchen Prokopetz,16
Heino,17
Freundeskreis mit Joy Denalane,17
Dieter Hallervorden,17
Extrabreit mit Hildegard Knef,17
RIN & Bausa,17
LEA,17
Spektacoolär,17
Die Doofen,17
Franka Potente & Thomas D,17
Kiz,17
Zeichen der Zeit,17
Paul van Dyk / Peter Heppner,17
Witt,17
Johannes Oerding,17
Xavas,17
Das Bo,17
Absolute Beginner,17
Lea [DE],17
Samra x Capital Bra,17
Angelika Milster,17
Pe Werner,18
Udo Jürgens und die Fußball-Nationalmannschaft,18
Sido feat. Apache 207,18
Tone Band,18
Katja Krasavice,18
Cinematic feat. Heinz Rühmann & Oliver Grimm,18
Beginner,18
Leon Machère,18
DJ Robin & Schürze,18
SDP feat. Clueso,18
Jawoll,18
Bausa x Joshi Mizu x Maxwell,18
Nimo & Capo,18
Domiziana,18
Clowns & Helden,18
T-Low,18
Caterina Valente,19
Muhabbet,19
ZaZa,19
Rudi Carrell,19
Purple Schulz und Die Neue Heimat,19
Christian,19
Kasimir1441 x Badmómzjay,19
Wind,19
Olexesh feat. Edin,19
C Arma,19
Aquagen,19
Kummer feat. Fred Rabe,19
Benny,19
Die Schlümpfe,20
Basis,20
Ferris MC,20
"KitschKrieg feat. Trettmann, Gringo, Ufo361 & Gzuz",20
Capital Bra feat. Juju,20
Horst Schlämmer,20
Torfrock,20
Curse,20
Time To Time,20
Azet,21
AK Ausserkontrolle x Bonez MC,21
Bruce Low,21
Wolfsheim,21
Alex C. feat. Y-ass,21
Bläck Fööss,21
T-Low & Miksu / Macloud,21
Ted Herold,21
K2,21
Hans Hartz,21
Ella Endlich,21
Civo,22
Fero47,22
Ben feat. Gim,22
Casper,22
Die Fantastischen Vier feat. Clueso,22
Julian Sommer,22
Nickerbocker & Biene,22
Bino,22
Mark Forster x Lea,22
Summer Cem & Bausa,22
Ion Miles / SiraOne / BHZ,22
Capital Bra feat. Ufo361,22
Gestört aber GeiL feat. Lea,22
Lune,22
Andreas Martin,22
Daliah Lavi,22
Udo Lindenberg & Pascal,23
Christian Anders,23
Kool Savas x Alies,23
Samy Deluxe,23
Herbert Grönemeyer feat. Amadou & Mariam,23
Kay One feat. Pietro Lombardi,23
Kool Savas & Azad,23
Buddy vs. DJ The Wave,23
Ben,23
La Bouche,23
Laserkraft 3D,24
Beginner feat. Gzuz & Gentleman,24
Eisblume,24
Diether Krebs,24
Fettes Brot mit Finkenauer,24
Grauzone,24
Capo,24
Manuel & Pony,24
Willem,24
Schiller,24
Alex C. feat. Yass,24
Udo Lindenberg feat. Clueso,24
Peter Cornelius,24
Freundeskreis,25
Cliff Richard,25
EFF,25
Bausa feat. Apache 207,25
Jonny Hill,25
Superboys,26
Timmy,26
Stefan Waggershausen & Viktor Lazlo,26
Tony Marshall,26
Eno,26
Wencke Myhre,27
Jürgen von der Lippe,27
Gebrüder Blattschuss,27
Revolverheld feat. Marta Jandová,27
KC Rebell,27
Gestört aber GeiL feat. Sebastian Hämer,28
MoTrip feat. Lary,28
KC Rebell x Summer Cem,28
Schnappi,28
Glashaus,28
Dolls United feat. Jim Knopf & Lukas der Lokomotivführer,28
Frl. Menke,28
Bonez MC & RAF Camora feat. Gzuz,29
Schnuffel,29
Capital Bra x Samra & Lea,29
Der Wolf,29
Samra & Capital Bra,29
Fred Sonnenschein und seine Freunde,29
Witt / Heppner,29
Cappuccino,29
Miksu / MacLoud & T-Low,29
Azet & Zuna,29
Massive Töne,30
Namika,30
Fler,30
Alligatoah,30
Overground,30
Rex Gildo,30
Miami Yacine,30
Die Firma,30
Purple Schulz,30
Marteria / Yasha / Miss Platnum,30
Johanna von Koczian,31
Richie,31
AnnenMayKantereit,31
Roy Black,31
Ideal,31
Katja Ebstein,31
Cassandra Steen feat. Adel Tawil,31
Samajona,31
Lucilectric,31
2raumwohnung,32
Oliver Pocher,32
Die Wildecker Herzbuben,32
BAP,32
RZA feat. Xavier Naidoo,32
Annett Louisan,32
Pajel,32
Hape Kerkeling,33
Henry Valentino + Uschi,33
Gestört aber GeiL & Koby Funk feat. Wincent Weiss,33
Geier Sturzflug,33
Achim Reichel,34
Thomas D,34
Stefan Raab,34
Sido feat. Andreas Bourani,34
Original Naabtal Duo,34
UKW,35
Die Gerd Show,35
Gottlieb Wendehals,35
Dschinghis Khan,35
Relax,36
Klaus Lage Band,36
Böhse Onkelz,36
Kollegah,36
Joris,37
Rapsoul,37
Veysel,37
Capital Bra x Samra,37
Philipp Dittberner & Marv,37
Philipp Poisel,38
Oomph!,38
Die Flippers,38
257ers,38
DJ Ötzi,38
Markus,38
Gzuz,38
Max Giesinger,38
Pietro Lombardi,39
Hoffmann & Hoffmann,39
SDP feat. Adel Tawil,39
Die Atzen (Frauenarzt & Manny Marc),39
Peter Schilling,39
Tommy Steiner,39
Band ohne Namen,40
Gunter Gabriel,40
Klaus & Klaus,40
Clueso,40
Juju feat. Henning May,40
Stereoact feat. Kerstin Ott,41
Joachim Witt,41
Chris Roberts,41
Anton feat. DJ Ötzi,41
Peter Orloff,41
Bonez MC & RAF Camora feat. Maxwell,41
Jupiter Jones,41
Tim Toupet,42
Mike Krüger,42
Udo Jürgens,42
E Nomine,42
G.G. Anderson,42
Christian Franke,42
Tony Holiday,43
Paola,44
Stephan Remmler,44
Spliff,44
Peter Fox,45
Mark Forster feat. Sido,45
RAF Camora feat. Bonez MC,45
Kraftwerk,45
Vicky Leandros,45
Jan Delay,46
Mia.,46
Kollegah & Farid Bang,46
Truck Stop,46
Jamule,47
Marteria,47
Höhner,47
Extrabreit,47
Ayman,49
Marianne Rosenberg,49
Gitte,49
Frida Gold,50
Oli. P,51
Nana Mouskouri,51
Loredana,51
Montez,51
Adel Tawil,52
Sabrina Setlur,54
Laith Al-Deen,54
Frauenarzt & Manny Marc,55
Seeed,55
Deichkind,55
Karel Gott,56
Wir sind Helden,56
Costa Cordalis,57
Echt,57
Shindy,57
Karat,57
Wincent Weiss,57
Bonez MC,57
Nimo,57
Rainhard Fendrich,59
Das Modul,60
Hubert Kah,60
De Randfichten,61
Nino de Angelo,61
Die 3. Generation,62
Andreas Gabalier,63
DJ Ötzi & Nik P.,67
Juliane Werding,67
Shirin David,67
Pashanim,68
Sarah Connor,69
Hanne Haller,69
Michael Holm,69
Dardan,69
Nicki,69
Mero,70
Trio,71
Kontra K,73
Bausa,73
Andy Borg,73
Vader Abraham,74
Nicole,74
RIN,75
Udo Lindenberg,76
Matthias Reim,80
Roger Whittaker,80
Tokio Hotel,81
LaFee,81
RAF Camora,86
Yvonne Catterfeld,87
Bushido,87
Bernhard Brink,89
Pur,89
Glasperlenspiel,90
Jürgen Drews,91
Tim Bendzko,91
Peter Alexander,91
Söhne Mannheims,92
Frank Zander,93
Münchener Freiheit,94
Samra,96
Luciano [DE],97
Juli,100
Westernhagen,103
Ufo361,104
Die Prinzen,104
Andreas Bourani,109
Andrea Jürgens,110
Helene Fischer,112
Christina Stürmer,113
Spider Murphy Gang,119
Blümchen,119
Revolverheld,119
Erste Allgemeine Verunsicherung,123
Tic Tac Toe,126
Bonez MC & RAF Camora,127
Falco,128
Fettes Brot,128
Unheilig,131
Sportfreunde Stiller,132
Capital Bra,143
Rammstein,163
Rosenstolz,173
Mark Forster,174
Peter Maffay,174
Culcha Candela,175
Die Fantastischen Vier,175
Herbert Grönemeyer,177
Roland Kaiser,189
Cro,193
Ich + Ich,195
Silbermond,203
Sido,206
Nena,212
Wolfgang Petry,228
Die Ärzte,257
Howard Carpendale,270
Apache 207,272
Xavier Naidoo,276
Die Toten Hosen,288
